0,0,0,24,0,1,1,4,2,1,1,3,3
0,0,0,24,0,1,2,4,2,1,1,3,2
0,0,0,24,0,1,2,4,1,2,2,3,3
0,0,0,23,0,0,1,4,2,2,2,3,2
0,0,0,25,0,1,2,3,1,1,1,3,2
0,0,0,25,0,1,2,4,2,1,2,3,2
3,0,9,7,12,8,13,9,4,3,1,2,6
12,0,16,12,11,6,13,10,9,5,0,1,6
14,0,17,13,10,7,12,9,10,8,1,0,5
14,0,38,10,8,8,10,9,9,10,2,0,3
12,0,41,3,7,12,8,10,7,9,2,0,3
4,0,0,17,0,7,11,9,11,6,4,3,3
11,0,47,30,0,1,6,4,9,5,3,3,1
12,0,43,17,0,8,8,11,7,7,4,0,2
14,0,20,16,5,6,9,11,7,7,3,0,3
14,0,20,16,9,5,10,11,9,4,2,0,4
12,0,20,14,10,5,10,12,8,5,1,0,3
6,0,0,24,15,4,7,9,7,6,4,5,4
5,0,0,18,15,10,4,5,12,8,4,2,3
10,0,35,13,23,4,7,6,9,5,4,2,2
12,0,36,9,25,2,9,7,9,4,4,2,1
10,0,37,11,27,1,11,8,8,3,4,3,1
9,0,38,11,27,0,12,9,7,3,5,2,0
11,0,18,9,24,2,10,8,9,2,5,2,1
14,0,38,15,20,4,10,7,11,2,4,1,1
14,0,36,16,19,8,10,8,9,4,4,2,2
14,0,35,16,17,8,10,11,6,4,3,1,4
13,0,34,14,14,5,9,11,2,4,3,2,6
7,0,38,9,15,6,8,10,3,4,2,2,5
0,0,0,15,17,7,9,12,7,5,3,2,2
5,0,39,26,7,3,6,9,10,4,4,3,2
3,0,0,26,11,7,4,4,10,9,3,1,2
8,0,42,22,8,3,1,7,9,7,3,1,3
10,0,32,15,8,2,11,14,11,5,2,0,5
12,0,13,11,10,4,13,14,9,7,1,0,2
13,0,15,8,10,8,12,13,9,8,2,0,2
13,0,38,9,8,7,11,11,7,10,2,0,3
11,0,41,15,0,8,8,10,11,8,4,1,3
4,0,0,31,9,3,4,5,5,5,5,2,3
2,0,0,28,7,6,6,5,5,5,3,2,3
2,0,0,25,6,7,6,8,11,7,4,2,3
13,0,36,15,9,10,10,10,6,9,1,0,5
14,0,38,13,13,11,10,8,5,9,0,0,5
12,0,39,8,13,11,10,7,3,8,1,0,5
7,0,21,0,21,11,10,6,6,7,1,3,4
4,0,22,0,29,11,5,7,6,3,2,3,6
3,0,43,0,20,12,7,8,9,5,3,2,4
1,0,21,8,11,10,8,7,7,5,2,2,2
8,0,6,16,11,11,7,8,7,7,3,2,5
7,0,47,9,13,11,5,3,6,6,4,2,3
11,0,37,14,20,11,4,2,8,8,5,0,1
14,0,38,14,20,11,4,2,10,9,5,1,0
14,0,38,12,19,12,6,3,8,9,5,0,0
12,0,38,10,18,12,5,2,7,9,5,2,0
10,0,39,6,17,12,2,1,11,10,5,2,0
3,0,43,0,18,14,5,2,8,8,3,3,3
0,0,0,20,18,3,8,6,10,10,2,3,3
10,0,35,20,14,3,5,8,9,10,3,1,3
14,0,35,17,5,6,8,11,9,5,3,0,3
14,0,40,14,8,10,9,10,8,2,4,1,2
8,0,27,0,13,10,10,9,8,5,3,1,2
3,0,46,0,19,10,6,5,6,6,3,3,3
1,0,0,22,12,6,6,6,9,5,4,2,4
9,0,45,15,8,5,7,7,8,4,3,1,5
1,0,0,18,9,12,10,4,5,3,5,2,4
12,0,38,12,23,6,0,6,12,4,3,1,3
13,0,38,13,23,8,1,5,13,5,3,1,3
12,0,38,12,24,10,1,4,14,6,3,0,2
11,0,38,10,23,11,3,1,11,8,5,0,0
8,0,38,5,25,6,1,4,12,9,5,0,1
3,0,39,0,27,5,3,8,11,10,4,1,2
1,0,35,7,22,12,7,4,7,6,2,3,2
3,0,0,24,11,4,7,11,8,7,3,4,4
10,0,43,23,6,3,7,10,9,4,2,2,3
12,0,34,17,2,5,8,12,13,6,2,0,4
13,0,14,18,4,5,7,13,14,6,2,0,5
12,0,14,17,5,4,9,14,14,6,2,0,4
11,0,14,15,7,4,11,14,12,4,1,1,5
9,0,35,6,9,8,13,13,5,2,0,3,6
6,0,35,0,12,10,14,11,2,1,1,5,6
4,0,36,0,16,13,13,13,5,2,2,4,5
3,0,38,1,6,10,11,14,9,5,3,4,4
0,0,45,4,3,8,9,12,9,7,4,4,3
0,0,40,24,0,2,4,6,4,7,3,3,3
0,0,0,24,0,1,2,5,1,1,1,4,2
0,0,0,24,0,1,1,3,2,2,2,3,2
0,0,0,24,0,1,1,4,2,1,1,3,3
0,0,0,25,0,1,0,4,1,2,1,3,2
0,0,0,24,0,1,2,5,1,1,2,3,3
0,0,0,24,0,1,1,4,1,1,1,3,3
0,0,0,25,0,1,1,4,0,1,1,4,3
0,0,0,25,0,0,2,4,2,1,2,3,2
