0,0,0,31,21,12,8,10,9,6,2,4,2
0,0,0,31,20,10,8,12,8,5,2,3,2
0,0,0,31,20,12,7,11,9,7,2,3,1
0,0,0,31,21,12,7,11,9,7,3,4,2
0,0,0,31,19,10,8,12,9,5,2,4,2
0,0,0,31,21,11,8,11,9,6,2,4,2
0,0,0,31,19,10,9,11,7,5,2,3,2
0,0,0,31,20,12,7,12,7,6,2,4,2
0,0,0,31,21,11,7,11,10,6,3,3,2
0,0,0,31,19,10,9,12,7,6,2,3,2
0,0,0,31,20,12,8,12,10,6,3,4,2
0,0,0,31,20,10,7,10,7,4,2,4,3
0,0,0,24,2,6,9,12,8,8,4,3,3
9,0,13,10,11,6,13,8,8,3,0,3,6
13,0,17,13,10,6,12,10,9,7,1,0,5
14,0,38,12,9,7,11,9,10,9,1,0,4
13,0,39,7,8,10,10,9,7,10,2,0,3
11,0,42,6,1,13,9,9,8,7,3,1,2
11,0,45,25,0,1,8,7,11,7,4,4,3
4,0,0,26,0,4,6,7,9,6,4,2,1
14,0,41,16,3,7,9,11,7,8,4,0,2
14,0,20,16,7,6,9,11,8,6,2,0,3
14,0,19,16,10,5,10,12,8,4,1,0,4
10,0,40,22,8,1,5,9,9,7,2,1,2
6,0,0,22,13,8,8,7,4,8,6,3,3
2,0,0,17,16,8,4,5,12,7,4,2,3
12,0,35,10,25,2,8,6,9,4,5,2,1
11,0,36,10,26,1,9,8,9,3,4,3,1
10,0,38,11,27,1,11,9,7,3,5,2,0
10,0,38,10,26,1,11,9,8,2,5,2,0
12,0,17,11,22,3,10,8,10,2,5,3,1
14,0,37,15,20,7,10,7,11,3,4,2,2
14,0,35,16,17,8,10,10,8,4,3,2,3
14,0,34,16,17,6,10,11,4,4,2,2,5
10,0,36,9,13,4,9,11,4,4,2,2,5
5,0,35,14,17,6,8,12,4,4,3,1,3
2,0,38,15,16,8,8,11,8,4,3,2,3
2,0,0,27,10,3,4,8,9,4,4,3,3
6,0,40,0,9,13,12,10,4,3,2,2,4
4,0,38,0,14,14,13,9,4,3,2,3,6
7,0,21,4,7,10,12,13,11,3,0,0,5
11,0,17,12,7,4,11,14,14,6,2,0,2
13,0,17,16,7,2,9,13,14,7,3,0,2
14,0,19,15,8,3,9,13,13,6,3,0,1
12,0,40,3,11,10,10,11,8,8,1,0,3
11,0,43,17,0,6,9,8,10,9,4,2,2
10,0,44,28,7,4,6,5,7,6,3,2,1
2,0,0,27,7,6,6,9,9,7,3,2,3
3,0,0,20,5,8,9,9,9,6,4,2,2
14,0,38,16,12,8,10,10,4,8,2,0,3
14,0,19,16,13,8,10,10,6,7,2,1,3
14,0,18,16,9,10,10,10,7,7,2,0,3
13,0,40,14,8,8,12,8,5,5,1,0,3
7,0,22,0,15,11,10,7,5,5,1,2,6
7,0,11,0,17,10,7,5,8,8,4,2,3
9,0,10,4,22,3,9,9,9,4,4,3,1
10,0,27,6,20,3,12,6,8,5,3,2,0
12,0,28,7,15,6,10,7,8,6,3,2,1
12,0,28,7,11,12,9,9,5,6,3,0,3
7,0,29,0,15,13,9,8,5,5,3,0,5
2,0,0,22,9,1,5,3,7,7,3,2,5
5,0,0,25,12,3,5,6,11,7,2,2,2
9,0,42,22,10,3,7,7,10,5,3,2,2
11,0,35,11,20,4,9,5,9,2,4,2,2
12,0,36,12,21,3,10,5,10,3,4,2,0
12,0,36,15,21,2,10,6,10,3,4,1,0
11,0,37,14,21,2,11,6,9,4,3,1,1
10,0,36,9,21,3,11,6,7,2,4,2,1
10,0,35,7,19,4,12,5,5,3,4,3,1
8,0,35,3,21,4,12,4,6,2,4,2,3
6,0,34,0,30,5,7,3,9,6,3,3,3
5,0,34,0,29,8,7,0,8,8,4,4,2
3,0,35,0,30,10,8,3,8,7,4,4,3
1,0,38,0,30,13,8,8,5,6,2,3,3
0,0,47,20,0,5,7,7,5,7,3,2,3
0,0,0,31,20,10,8,11,9,6,2,3,2
0,0,0,31,21,11,7,12,9,5,2,3,2
0,0,0,31,21,11,8,12,7,6,3,3,2
0,0,0,31,17,11,9,12,10,7,2,4,2
0,0,0,31,20,12,8,11,10,6,2,4,1
0,0,0,31,19,10,7,12,10,6,3,3,1
0,0,0,31,21,12,6,11,9,4,2,3,2
0,0,0,31,20,12,7,12,9,6,3,4,1
0,0,0,31,19,10,9,12,9,6,2,4,2
0,0,0,31,20,12,8,11,9,6,2,3,2
