4,0,47,3,4,11,10,6,8,5,3,3,5
1,0,44,0,8,8,8,9,8,8,5,4,4
5,0,0,26,16,4,5,5,11,8,5,3,5
12,0,47,22,4,4,8,8,10,4,3,1,3
3,0,0,17,9,8,9,7,8,7,4,2,4
1,0,0,16,15,12,10,5,6,7,4,3,4
12,0,31,12,27,6,5,3,6,9,5,1,3
14,0,31,15,24,7,4,7,7,9,4,0,3
14,0,31,16,16,8,9,6,9,7,3,2,2
13,0,32,12,12,6,11,5,9,5,2,1,3
12,0,34,13,7,6,9,12,9,4,2,3,3
14,0,12,17,7,2,11,12,11,6,0,0,5
14,0,15,17,7,1,12,13,13,5,1,1,6
13,0,16,18,6,1,12,13,13,4,0,1,6
13,0,17,18,7,1,11,13,11,5,1,1,5
14,0,17,18,8,2,10,13,11,7,1,0,3
14,0,38,19,9,2,10,11,11,6,0,1,4
14,0,38,21,10,2,10,10,11,6,0,1,4
14,0,39,16,11,5,12,10,9,3,0,2,4
14,0,40,16,10,5,11,10,7,3,1,2,5
14,0,24,16,10,5,12,9,6,2,1,3,5
13,0,30,14,9,5,12,9,5,1,1,4,6
11,0,36,12,8,5,13,10,5,2,1,3,6
10,0,39,11,7,4,14,10,6,1,1,3,6
8,0,39,8,6,6,13,12,5,1,1,2,6
8,0,13,15,6,3,14,11,7,1,0,2,6
9,0,41,9,9,6,13,11,6,1,1,3,5
6,0,47,0,12,8,10,11,6,4,2,3,5
11,0,38,19,11,6,8,10,11,6,2,3,3
7,0,39,23,20,5,0,7,11,6,3,2,3
0,0,47,15,4,6,2,10,10,7,3,3,3
0,0,0,29,5,3,3,5,2,7,3,4,2
0,0,0,30,7,1,1,4,1,1,1,2,1
0,0,0,29,5,2,2,4,1,1,2,2,1
