0,0,0,30,12,3,2,4,2,0,1,2,1
0,0,0,31,12,2,1,4,2,1,1,2,1
0,0,0,30,10,3,1,4,1,1,1,2,1
0,0,0,29,11,2,3,4,1,0,1,3,1
0,0,0,30,10,2,3,4,1,1,1,2,1
0,0,0,30,11,3,2,5,1,0,1,2,1
0,0,0,30,9,3,4,6,1,3,2,3,2
0,0,0,23,10,6,8,8,7,6,3,3,4
6,0,0,23,5,6,7,7,9,7,3,2,4
4,0,0,21,9,7,7,7,6,6,4,2,3
8,0,33,14,13,8,8,5,5,5,3,2,3
13,0,35,10,23,8,5,1,6,7,5,2,3
14,0,34,15,19,10,5,0,11,8,4,0,4
14,0,33,16,13,8,10,2,9,7,4,0,3
14,0,34,14,11,7,12,3,9,5,3,1,3
9,0,36,0,15,10,11,6,7,7,2,3,3
14,0,34,16,6,4,10,11,8,6,1,2,5
14,0,35,16,6,2,11,14,9,4,0,2,6
13,0,35,17,5,2,10,15,10,4,1,0,6
10,0,38,0,14,10,12,13,4,3,1,1,6
6,0,40,0,22,13,12,11,5,3,2,2,5
2,0,34,4,7,8,8,11,9,6,3,2,3
7,0,36,22,6,6,9,6,4,4,2,3,4
11,0,42,21,7,7,10,6,5,4,2,3,3
11,0,35,6,11,11,7,8,8,5,3,2,4
11,0,37,0,19,4,10,9,10,5,4,2,2
12,0,36,6,20,3,11,7,11,3,4,2,1
14,0,35,12,15,2,12,8,11,4,5,1,1
14,0,14,16,12,3,11,9,13,5,3,2,0
14,0,15,16,8,5,10,11,12,6,3,0,2
14,0,39,17,6,3,10,12,12,6,2,0,3
14,0,12,16,6,3,11,13,13,4,1,0,4
12,0,32,12,6,5,12,13,11,2,1,0,6
11,0,37,8,7,8,13,13,9,0,1,0,6
9,0,12,9,7,7,13,13,9,0,1,1,7
8,0,39,8,7,7,13,12,8,0,1,2,7
8,0,40,3,10,10,13,11,5,0,1,3,7
7,0,14,5,8,10,13,13,6,0,1,3,6
6,0,31,6,5,8,12,13,7,0,2,3,5
5,0,38,7,3,5,12,14,11,4,2,2,3
3,0,40,6,4,5,11,12,10,6,3,3,5
0,0,47,6,2,6,8,10,6,6,4,4,3
0,0,0,29,8,2,3,6,6,3,2,2,2
0,0,0,30,12,2,1,5,2,1,0,2,1
0,0,0,31,9,3,2,5,1,1,1,2,1
0,0,0,30,11,2,2,4,0,1,0,3,1
0,0,0,30,10,3,2,4,3,1,1,1,1
