0,0,0,30,11,2,1,3,3,0,1,2,2
0,0,0,30,9,2,2,3,3,1,1,1,1
0,0,0,30,9,2,2,4,1,1,1,1,2
0,0,0,29,10,2,1,4,2,1,1,2,1
1,0,39,0,30,8,2,5,7,8,4,3,2
5,0,19,0,30,8,3,2,10,9,4,3,1
8,0,18,2,22,13,6,0,7,9,5,3,2
10,0,38,8,24,13,5,0,7,11,4,2,2
11,0,38,12,28,13,3,0,11,11,3,0,2
13,0,37,15,26,12,3,0,13,10,3,0,3
13,0,37,15,24,11,2,2,12,10,3,0,3
13,0,38,16,23,8,2,3,12,9,3,0,4
13,0,39,15,21,8,3,3,12,8,3,0,3
13,0,24,15,15,10,5,1,11,9,3,0,5
11,0,32,8,13,10,9,1,9,8,2,1,4
7,0,35,0,21,8,9,5,7,9,3,2,3
6,0,37,0,23,10,11,5,5,6,2,4,4
5,0,38,0,22,10,12,3,5,6,2,5,3
5,0,39,0,23,10,12,2,6,4,3,5,3
3,0,39,0,29,10,8,3,4,7,3,4,4
2,0,40,0,26,11,11,5,2,6,3,3,4
1,0,40,0,23,12,11,7,3,7,3,2,4
1,0,38,0,14,10,11,10,7,7,2,2,4
