0,0,0,31,20,8,6,8,4,2,1,2,1
0,0,0,31,18,10,6,9,3,2,1,2,0
0,0,0,31,20,8,6,8,3,2,2,2,0
0,0,0,31,18,10,6,8,3,1,1,3,1
0,0,0,31,20,10,6,8,4,3,2,2,0
0,0,14,10,14,11,11,9,0,5,4,4,4
6,0,22,0,20,10,13,0,6,7,3,5,1
8,0,24,0,14,8,14,3,5,8,1,4,3
14,0,21,16,9,10,6,9,7,8,3,0,3
14,0,21,16,14,8,7,7,8,8,2,0,3
14,0,20,17,13,7,9,6,8,8,3,1,3
14,0,18,18,10,5,10,9,7,7,2,0,4
14,0,17,20,8,2,10,12,8,6,1,1,4
14,0,38,17,6,2,11,13,9,4,1,3,4
11,0,39,4,10,7,14,6,3,4,3,5,4
7,0,39,0,28,11,10,2,3,8,4,4,4
5,0,36,0,15,8,11,5,5,8,3,3,5
11,0,6,20,9,5,8,11,8,2,3,4,5
11,0,39,24,15,3,0,5,9,6,3,1,3
5,0,0,26,19,8,3,5,10,7,3,1,4
10,0,33,24,10,2,5,6,11,8,3,2,2
13,0,36,19,5,1,12,12,11,1,0,4,6
13,0,37,18,5,1,13,13,8,1,0,5,6
13,0,17,21,5,1,13,13,8,3,0,5,6
12,0,19,17,4,2,13,13,6,2,1,5,5
12,0,21,17,4,2,13,11,8,1,2,5,4
11,0,25,16,4,2,14,12,6,1,2,5,3
11,0,29,18,4,1,13,11,8,0,3,5,3
11,0,32,18,4,1,14,11,7,0,2,5,4
10,0,36,17,4,1,13,12,8,1,1,4,6
8,0,38,1,10,10,14,6,3,2,3,5,5
6,0,39,0,23,11,11,1,5,6,3,5,4
4,0,31,0,26,10,10,1,5,6,3,4,4
4,0,42,0,23,11,12,2,4,7,2,4,4
4,0,31,0,18,10,14,3,3,7,3,4,4
4,0,31,0,20,10,13,5,5,7,2,3,5
4,0,31,0,15,8,13,6,4,7,3,3,4
2,0,39,0,16,10,12,8,4,7,3,2,4
0,0,43,0,18,15,10,10,6,6,3,3,3
0,0,0,30,6,3,4,5,3,4,3,3,2
0,0,0,31,21,8,4,7,2,2,1,2,2
0,0,0,31,17,8,6,8,3,1,1,2,0
0,0,0,31,19,10,6,9,3,3,1,2,0
0,0,0,31,19,8,6,7,4,1,1,3,2
0,0,0,31,18,8,6,8,2,2,1,2,1
0,0,0,31,18,10,6,9,3,1,1,2,1
