0,0,0,22,0,1,1,4,2,3,2,4,4
0,0,0,22,0,4,6,5,2,6,2,3,2
1,0,0,23,9,6,8,8,8,7,3,3,5
4,0,0,23,4,6,7,7,9,7,3,1,3
9,0,11,21,10,7,7,7,6,6,4,3,3
7,0,33,10,17,10,7,3,5,4,4,3,3
12,0,35,11,22,10,4,1,7,7,5,1,3
14,0,34,15,18,10,6,1,11,8,4,0,4
14,0,33,16,12,8,11,3,9,7,4,0,3
12,0,34,10,11,7,11,4,8,5,3,2,2
9,0,37,1,12,10,9,8,6,7,2,4,3
13,0,34,16,6,4,11,12,8,6,1,2,5
13,0,35,17,6,2,10,14,9,5,1,1,6
13,0,36,17,5,3,10,14,11,6,1,0,5
12,0,36,17,5,2,11,14,12,7,0,1,5
10,0,38,5,6,7,12,12,10,6,2,1,3
9,0,38,20,6,2,4,5,8,7,3,3,5
3,0,0,26,13,8,5,5,5,7,3,2,2
4,0,0,27,5,6,6,7,9,6,3,2,3
11,0,29,20,3,8,9,9,6,8,4,1,2
14,0,33,16,8,10,11,10,6,10,2,0,3
14,0,35,17,9,10,10,10,8,10,2,0,3
14,0,36,16,10,10,11,11,7,8,2,0,3
14,0,19,17,10,6,9,10,7,7,2,0,3
14,0,27,16,11,7,9,10,6,5,2,0,4
11,0,34,10,14,6,10,8,4,3,2,1,6
8,0,37,1,11,7,9,12,7,2,3,2,5
2,0,34,0,11,8,8,10,8,4,2,1,4
2,0,17,17,11,6,6,7,8,6,2,1,2
10,0,20,21,14,6,6,9,9,7,3,2,4
3,0,0,24,7,8,5,5,8,6,3,1,3
2,0,0,28,8,8,7,6,8,7,3,2,4
2,0,0,27,11,7,6,9,8,6,4,1,3
2,0,0,26,10,7,7,7,7,6,3,2,2
2,0,0,28,9,8,8,6,7,7,3,2,2
1,0,0,30,10,6,7,6,7,6,4,2,3
1,0,0,28,6,6,5,6,8,7,3,2,3
0,0,0,25,3,8,7,6,9,7,4,2,3
0,0,0,24,2,6,5,6,6,6,3,1,3
0,0,0,22,0,1,2,6,3,4,4,3,2
0,0,0,20,0,1,2,4,0,2,3,4,3
0,0,0,22,0,0,1,6,1,1,2,5,3
0,0,0,20,0,1,1,5,2,1,2,4,3
0,0,0,20,0,1,0,5,3,2,2,4,3
0,0,0,22,0,1,2,5,1,2,1,4,4
