0,0,0,22,0,0,2,5,1,1,2,4,3
0,0,0,23,0,0,1,5,0,1,3,4,3
0,0,0,22,5,7,5,6,5,5,2,2,1
3,0,23,20,9,8,9,6,6,5,3,2,3
7,0,34,21,6,5,7,8,4,5,4,3,3
8,0,36,20,6,4,6,7,5,5,3,3,5
3,0,0,24,12,5,6,9,9,5,4,2,2
3,0,0,23,8,4,5,6,6,3,3,2,3
3,0,0,23,10,6,4,4,5,4,3,2,3
10,0,31,10,19,13,7,3,4,5,4,4,4
11,0,36,8,25,12,7,0,8,11,6,1,0
11,0,15,8,23,13,9,0,6,11,6,0,0
10,0,16,7,24,13,9,0,7,11,6,0,1
10,0,39,7,23,12,8,0,8,11,6,0,2
9,0,10,7,26,12,8,0,9,11,5,0,2
9,0,28,8,27,10,7,0,10,11,5,0,1
11,0,32,11,27,10,7,0,10,10,6,0,0
11,0,35,12,27,8,8,0,10,8,5,0,0
12,0,38,13,27,5,8,3,12,6,4,0,0
11,0,39,13,27,3,9,7,9,3,4,0,1
11,0,39,12,24,4,7,6,9,0,4,0,2
10,0,38,11,24,3,9,7,8,0,4,0,3
9,0,39,8,24,3,7,6,7,0,5,3,2
8,0,39,5,24,3,7,5,6,2,4,2,4
6,0,37,3,20,5,6,5,10,2,4,4,3
4,0,46,0,16,6,9,8,8,6,3,4,4
0,0,47,14,8,10,4,6,5,6,2,2,4
0,0,0,22,0,1,3,5,2,4,3,3,2
0,0,0,22,0,1,1,5,1,2,2,4,3
0,0,0,23,0,1,1,5,2,1,2,3,5
0,0,0,22,0,1,1,5,1,1,2,4,4
0,0,0,23,0,1,1,4,1,2,2,4,3
